n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj
SDE07,SDE07,E Born,FR*S07*P07288*A,ST PRIEST_Place Des Mineurs,Place Des Mineurs 07000 ST PRIEST,07288,4.57474100,44.72065400,,FR*S07*E07288*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07288*A,ST PRIEST_Place Des Mineurs,Place Des Mineurs 07000 ST PRIEST,07288,4.57474100,44.72065400,,FR*S07*E07288*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07292*A,ST ROMAIN D AY_Avenue de Praperrier,Avenue de Praperrier 07290 ST ROMAIN D AY,07292,4.66594299,45.16699500,,FR*S07*E07292*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07292*A,ST ROMAIN D AY_Avenue de Praperrier,Avenue de Praperrier 07290 ST ROMAIN D AY,07292,4.66594299,45.16699500,,FR*S07*E07292*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07294*A,ST SAUVEUR DE CRUZIERES_Fangaro,Fangaro 07460 ST SAUVEUR DE CRUZIERES,07294,4.25471200,44.29897900,,FR*S07*E07294*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07294*A,ST SAUVEUR DE CRUZIERES_Fangaro,Fangaro 07460 ST SAUVEUR DE CRUZIERES,07294,4.25471200,44.29897900,,FR*S07*E07294*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07295*A,ST SAUVEUR DE MONTAGUT_Saint Sauveur,Saint Sauveur 07190 ST SAUVEUR DE MONTAGUT,07295,4.58457300,44.82141500,,FR*S07*E07295*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07295*A,ST SAUVEUR DE MONTAGUT_Saint Sauveur,Saint Sauveur 07190 ST SAUVEUR DE MONTAGUT,07295,4.58457300,44.82141500,,FR*S07*E07295*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07300*A,ST THOME_Place des Crottes,Place des Crottes 07220 ST THOME,07300,4.62938900,44.50300000,,FR*S07*E07300*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07300*A,ST THOME_Place des Crottes,Place des Crottes 07220 ST THOME,07300,4.62938900,44.50300000,,FR*S07*E07300*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07306*A,SAMPZON_Place de la Mairie,Place de la Mairie 07120 SAMPZON,07306,4.34368100,44.42462100,,FR*S07*E07306*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07306*A,SAMPZON_Place de la Mairie,Place de la Mairie 07120 SAMPZON,07306,4.34368100,44.42462100,,FR*S07*E07306*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07308*A,SARRAS_Place Jean Moulin,Place Jean Moulin 07370 SARRAS,07308,4.79981500,45.18772100,,FR*S07*E07308*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07308*A,SARRAS_Place Jean Moulin,Place Jean Moulin 07370 SARRAS,07308,4.79981500,45.18772100,,FR*S07*E07308*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07309*A,SATILLIEU_Place du Collège,Place du Collège 07290 SATILLIEU,07309,4.61752000,45.15135500,,FR*S07*E07309*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07309*A,SATILLIEU_Place du Collège,Place du Collège 07290 SATILLIEU,07309,4.61752000,45.15135500,,FR*S07*E07309*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07319*A,LE TEIL_Place René Montérémal,Place René Montérémal 07400 LE TEIL,07319,4.68568100,44.55292900,,FR*S07*E07319*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07319*A,LE TEIL_Place René Montérémal,Place René Montérémal 07400 LE TEIL,07319,4.68568100,44.55292900,,FR*S07*E07319*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
